station,field
28079049,SPA.NO2
28079039,AEMET.WS
28079048,SPA.PM25
28079054,MACC.O3
28079024,MACC.NO2
28079027,MACC.PM10
28079027,MACC.PM25
28079008,AEMET.WS
28079036,MACC.PM25
28079058,MACC.NO2
28079035,SPA.O3
28079049,MACC.NO2
28079004,MACC.O3
28079018,SPA.PM10
28079058,AEMET.WS
28079017,AEMET.BLH
28079008,MACC.PM25
28079004,SPA.NO2
28079038,SPA.NO2
28079055,AEMET.BLH
28079040,MACC.NO2
28079004,AEMET.BLH
28079050,AEMET.BLH
28079040,MACC.PM25
28079035,MACC.PM25
28079050,MACC.PM10
28079060,AEMET.BLH
28079054,SPA.NO2
28079027,SPA.NO2
28079050,SPA.NO2
28079048,MACC.PM10
28079056,SPA.NO2
28079017,MACC.NO2
28079058,MACC.PM10
28079038,MACC.PM10
28079036,AEMET.BLH
28079050,SPA.PM10
28079004,MACC.NO2
28079059,SPA.NO2
28079036,MACC.NO2
28079059,AEMET.WS
28079054,MACC.NO2
28079024,SPA.NO2
28079048,MACC.NO2
28079008,AEMET.BLH
28079016,SPA.NO2
28079024,SPA.PM10
28079011,SPA.NO2
28079054,SPA.O3
28079057,MACC.NO2
28079047,SPA.NO2
28079004,MACC.PM25
28079035,SPA.NO2
28079055,MACC.PM10
28079054,AEMET.WS
28079055,AEMET.WS
28079047,MACC.NO2
28079027,AEMET.WS
28079060,SPA.PM10
28079027,SPA.O3
28079038,SPA.PM10
28079024,MACC.PM10
28079040,SPA.NO2
28079035,MACC.O3
28079056,MACC.O3
28079011,AEMET.BLH
28079035,AEMET.BLH
28079058,SPA.O3
28079055,MACC.O3
28079056,AEMET.BLH
28079047,SPA.PM25
28079036,MACC.O3
28079036,SPA.PM10
28079059,MACC.NO2
28079004,MACC.PM10
28079004,AEMET.WS
28079008,MACC.PM10
28079050,MACC.PM25
28079040,SPA.PM10
28079017,MACC.O3
28079039,MACC.O3
28079059,AEMET.BLH
28079050,MACC.NO2
28079039,MACC.PM10
28079016,MACC.PM25
28079056,AEMET.WS
28079038,MACC.NO2
28079049,AEMET.BLH
28079047,MACC.PM10
28079016,MACC.O3
28079050,AEMET.WS
28079056,MACC.PM25
28079059,MACC.PM10
28079055,SPA.NO2
28079027,AEMET.BLH
28079027,MACC.NO2
28079058,MACC.PM25
28079024,SPA.PM25
28079016,AEMET.WS
28079048,SPA.NO2
28079059,MACC.PM25
28079060,AEMET.WS
28079017,MACC.PM10
28079057,AEMET.BLH
28079008,SPA.O3
28079017,MACC.PM25
28079011,MACC.O3
28079039,SPA.NO2
28079056,SPA.PM10
28079060,MACC.PM25
28079056,MACC.PM10
28079040,AEMET.BLH
28079057,SPA.PM25
28079008,SPA.NO2
28079059,SPA.O3
28079057,MACC.PM10
28079017,SPA.O3
28079018,SPA.O3
28079008,MACC.NO2
28079058,SPA.NO2
28079016,MACC.NO2
28079036,MACC.PM10
28079057,MACC.PM25
28079038,SPA.PM25
28079054,AEMET.BLH
28079035,MACC.PM10
28079060,SPA.O3
28079056,MACC.NO2
28079040,MACC.O3
28079050,SPA.PM25
28079049,SPA.O3
28079018,MACC.PM10
28079035,MACC.NO2
28079055,SPA.PM10
28079008,SPA.PM25
28079049,MACC.O3
28079048,MACC.O3
28079059,MACC.O3
28079047,AEMET.WS
28079011,AEMET.WS
28079055,MACC.PM25
28079036,SPA.NO2
28079016,SPA.O3
28079040,AEMET.WS
28079055,MACC.NO2
28079048,MACC.PM25
28079048,AEMET.BLH
28079049,MACC.PM25
28079024,SPA.O3
28079008,SPA.PM10
28079027,MACC.O3
28079018,MACC.NO2
28079057,SPA.PM10
28079035,AEMET.WS
28079011,MACC.PM25
28079039,MACC.PM25
28079038,AEMET.BLH
28079038,MACC.PM25
28079018,AEMET.WS
28079024,AEMET.WS
28079056,SPA.PM25
28079036,AEMET.WS
28079048,SPA.PM10
28079039,AEMET.BLH
28079039,MACC.NO2
28079057,MACC.O3
28079018,AEMET.BLH
28079038,MACC.O3
28079047,MACC.PM25
28079057,SPA.NO2
28079039,SPA.O3
28079060,MACC.O3
28079011,MACC.PM10
28079018,MACC.O3
28079038,AEMET.WS
28079048,AEMET.WS
28079050,MACC.O3
28079047,AEMET.BLH
28079049,MACC.PM10
28079018,MACC.PM25
28079008,MACC.O3
28079024,AEMET.BLH
28079016,MACC.PM10
28079054,MACC.PM10
28079024,MACC.O3
28079058,AEMET.BLH
28079017,SPA.NO2
28079057,AEMET.WS
28079060,SPA.NO2
28079016,AEMET.BLH
28079011,MACC.NO2
28079047,SPA.PM10
28079040,MACC.PM10
28079017,AEMET.WS
28079060,MACC.PM10
28079058,MACC.O3
28079054,MACC.PM25
28079047,MACC.O3
28079024,MACC.PM25
28079049,AEMET.WS
28079060,MACC.NO2
28079018,SPA.NO2
